antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04830891263633359,0.04346149608901619,0.02919466784179795,0.6043329532497149,13.905019560577092,1.0,0.027095090224189315,2.4175339133427456,0.975194090518423,0.4665492957746479,0.5863553373622415,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04346149608901619,0.04830891263633359,0.02919466784179795,0.6717363751584284,13.905019560577092,1.0,0.027095090224189315,2.8991670576445285,0.970252133710728,0.4665492957746479,0.6550733434407657,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04830891263633359,0.033766662994381406,0.02181337446292828,0.45153933865450396,13.372341197281997,1.0,0.02018214369031219,1.7617185791141943,0.9721839276015349,0.3619744058500914,0.43237245048365913,0.5487713006486222
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.033766662994381406,0.04830891263633359,0.02181337446292828,0.6460032626427405,13.372341197281997,1.0,0.02018214369031219,2.6884176799720154,0.9575521188741642,0.3619744058500914,0.6280339891194253,0.5487713006486222
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.038779332378539165,0.03393191583122177,0.023355734273438362,0.6022727272727273,17.749446576151122,1.0,0.022039877231178798,2.428971183052928,0.9817310915283559,0.4732142857142857,0.5883030614043272,0.6452922077922079
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03393191583122177,0.038779332378539165,0.023355734273438362,0.6883116883116883,17.749446576151122,1.0,0.022039877231178798,3.0839163086188535,0.9768050830864301,0.4732142857142857,0.6757369850779593,0.6452922077922079
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03497851713121075,0.04164371488377217,0.025504021152363117,0.7291338582677166,17.508857226180062,1.0,0.024047385757893835,3.538117680516307,0.9770622380119973,0.49892241379310354,0.7173638385442078,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04164371488377217,0.03497851713121075,0.025504021152363117,0.6124338624338624,17.508857226180062,1.0,0.024047385757893835,2.4899530411222006,0.9838575323446477,0.49892241379310354,0.5983860002639613,0.6707838603507895
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03806323675223092,0.030626859094414455,0.02533876831552275,0.6657018813314037,21.735884808795507,1.0,0.024173010926834836,2.8997265816699547,0.9917420434259764,0.5844980940279543,0.6551398996300889,0.7465200054139034
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.030626859094414455,0.03806323675223092,0.02533876831552275,0.827338129496403,21.73588480879551,1.0,0.024173010926834836,5.5712170871433315,0.9841340666182421,0.5844980940279543,0.8205060071509878,0.7465200054139034
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.03806323675223092,0.09380852704638096,0.02060152032609893,0.5412445730824891,5.7696735054254304,1.0,0.017030864151754477,1.9753258921481094,0.8593911772514601,0.18514851485148515,0.49375442099200695,0.38042851085128565
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09380852704638096,0.03806323675223092,0.02060152032609893,0.21961244862008222,5.7696735054254304,1.0,0.017030864151754477,1.232639810241498,0.9122574997472644,0.18514851485148515,0.18873300075868824,0.38042851085128565
